ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Front,Side I,LotSF,Add#,Street
44990601000,5148 Terry Av,1,52,343,Vacant Lot,,25.0,142.5,3562.380419,5148,Terry
44990603200,2801-3 Norwood Av,1,52,343,Vacant Lot,,35.0,130.0,4273.0,2801,Norwood
45000100100,5054 Terry Av,1,52,343,Vacant Lot,,70.0,150.0,9975.1107,5054,Terry
45000103000,2817R N Kingshighway Blvd,1,52,343,Vacant Lot,,15.0,70.0,1049.9498715,2817,Kingshighway Memorial
45000202200,5053 Terry Av,1,52,343,Vacant Lot,,5.0,142.5,427.0,5053,Terry
45000202300,5055 Terry Av,1,52,343,Vacant Lot,,35.0,142.5,4988.0,5055,Terry
45000202400,5059 Terry Av,1,52,343,Vacant Lot,,40.0,142.5,5985.0,5059,Terry
45020503800,5215-7 Northland Av,1,52,343,Vacant Lot,,42.0,145.0,5924.0,5215,Northland
45020600900,5138 Northland Av,1,52,343,Vacant Lot,,42.0,144.99,6090.0,5138,Northland
45030500100,5262 Maffitt Av,1,52,343,Vacant Lot,,27.0,134.5,3921.0,5262,Maffitt
45030501800,5233 Northland Av,1,52,343,Vacant Lot,,29.0,145.0,4205.0,5233,Northland
45030503000,2712 Union Blvd,1,52,343,Vacant Lot,,25.0,125.1,2746.0,2712,Union
45030503100,2716 Union Blvd,1,52,343,Vacant Lot,,25.0,124.1,2686.1750225,2716,Union
45030503200,2718 Union Blvd,1,52,343,Vacant Lot,,25.0,125.04,2574.9083565,2718,Union
45030503300,2722 Union Blvd,1,52,343,Vacant Lot,,25.0,125.03,2583.9433415,2722,Union
45030503400,2724 Union Blvd,1,52,343,Vacant Lot,,25.0,125.3,2866.364531,2724,Union
45030503500,2726 Union Blvd,1,52,343,Vacant Lot,,34.75,125.42,3529.6668185,2726,Union
45040004900,5137 Wabada Av,1,52,343,Vacant Lot,,0.1,148.16,14.86,5137,Wabada
45040006400,5225 1/2 Wabada Av,1,52,343,Vacant Lot,,1.92,148.5,285.1,5225,Wabada
45050002200,5140 Wabada Av,1,52,343,Vacant Lot,,30.0,148.42,4043.0,5140,Wabada
45050003300,5106-8 Wabada Av,1,52,343,Vacant Lot,,40.5,143.5,6014.0,5106,Wabada
45060002400,5034 Lotus Av,1,52,343,Vacant Lot,,30.06,148.06,4593.816504,5034,Lotus
45060003450,5115 Cote Brilliante Av,1,52,343,Vacant Lot,,50.0,148.0,8264.125101,5115,Cote Brilliante
45060003500,5119 Cote Brilliante Av,1,52,343,Vacant Lot,,50.0,148.0,6618.0,5119,Cote Brilliante
45060004900,5251 Cote Brilliante Av,1,52,343,Vacant Lot,,31.0,148.8,3987.0,5251,Cote Brilliante
45110000100,5258 Cote Brilliante Av,1,52,343,Vacant Lot,,25.0,150.0,3842.6531195,5258,Cote Brilliante
45110000200,5254 Cote Brilliante Av,1,52,343,Vacant Lot,,25.0,150.0,3953.0,5254,Cote Brilliante
45110000400,5250 Cote Brilliante Av,1,52,343,Vacant Lot,,25.0,150.0,4131.0,5250,Cote Brilliante
45110001900,5210 Cote Brilliante Av,1,52,343,Vacant Lot,,30.0,150.0,3832.242391,5210,Cote Brilliante
45110002000,5206 Cote Brilliante Av,1,52,343,Vacant Lot,,40.0,150.0,6187.825063,5206,Cote Brilliante
45110002100,5200 Cote Brilliante Av,1,52,343,Vacant Lot,,40.0,150.0,5079.0,5200,Cote Brilliante
45110002200,5203 Theodosia Av,1,52,343,Vacant Lot,,40.0,150.0,5338.0,5203,Theodosia
