ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,Front,Side1,LotSF,Add#,Street,laglng,latlng
49990005307,1600-8 Hodiamont Av,22,50,347,Vacant Lot,,,114.83,107.31,11645.518151,1600,Hodiamont,"{'lat': 38.676034, 'lng': -90.284334}","{'lat': 38.676034, 'lng': -90.284334}"
50000000200,5978 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.04,2787.0682715,5978,Theodosia,"{'lat': 38.6756, 'lng': -90.284537}","{'lat': 38.6756, 'lng': -90.284537}"
50000000250,5976 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.04,2675.151617,5976,Theodosia,"{'lat': 38.67556099999999, 'lng': -90.284466}","{'lat': 38.67556099999999, 'lng': -90.284466}"
50000000300,5972 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.0,2812.3747365,5972,Theodosia,"{'lat': 38.675523, 'lng': -90.284393}","{'lat': 38.675523, 'lng': -90.284393}"
50000000400,5970 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.0,2694.0,5970,Theodosia,"{'lat': 38.675484, 'lng': -90.28432099999999}","{'lat': 38.675484, 'lng': -90.28432099999999}"
50000002100,5912 Theodosia Av,22,50,347,Vacant Lot,,,25.0,114.0,2614.0,5912,Theodosia,"{'lat': 38.674598, 'lng': -90.28266599999999}","{'lat': 38.674598, 'lng': -90.28266599999999}"
50000002600,1515-7 Hamilton Av,22,50,347,Vacant Lot,,,36.18,80.16,2685.658431,1515,Hamilton,"{'lat': 38.674354, 'lng': -90.282437}","{'lat': 38.674354, 'lng': -90.282437}"
50000003300,5933-5 Dr Martin Luther King Dr,22,50,347,Vacant Lot,,,35.0,114.28,4042.286833,5933,Dr Martin Luther King,"{'lat': 38.674603, 'lng': -90.28347699999999}","{'lat': 38.674603, 'lng': -90.28347699999999}"
50000003500,5949-53 Dr Martin Luther King Dr,22,50,347,Vacant Lot,,,83.75,114.29,9961.451835,5949,Dr Martin Luther King,"{'lat': 38.6748509, 'lng': -90.28393899999999}","{'lat': 38.6748509, 'lng': -90.28393899999999}"
50000003550,5955-9 Dr Martin Luther King Dr,22,50,347,Vacant Lot,,,66.03,114.04,7298.0,5955,Dr Martin Luther King,"{'lat': 38.67496999999999, 'lng': -90.284162}","{'lat': 38.67496999999999, 'lng': -90.284162}"
50010000400,6101-3 Dr Martin Luther King Dr,22,50,347,Vacant Lot,,,45.0,211.83,10769.0,6101,Dr Martin Luther King,"{'lat': 38.675644, 'lng': -90.285129}","{'lat': 38.675644, 'lng': -90.285129}"
50750000200,1552 Irving Av,22,50,347,Vacant Lot,,,33.04,57.0,2201.4943,1552,Irving,"{'lat': 38.677142, 'lng': -90.2850067}","{'lat': 38.677142, 'lng': -90.2850067}"
50750000400,1564-6 Irving Av,22,50,347,Vacant Lot,,,50.0,45.0,2942.6668475,1564,Irving,"{'lat': 38.677359, 'lng': -90.28479399999999}","{'lat': 38.677359, 'lng': -90.28479399999999}"
50750000500,1568 Irving Av,22,50,347,Vacant Lot,,,42.0,135.0,2330.8412365,1568,Irving,"{'lat': 38.67742399999999, 'lng': -90.284447}","{'lat': 38.67742399999999, 'lng': -90.284447}"
50750000550,1568 1/2 Irving Av,22,50,347,Vacant Lot,,,8.0,40.0,473.421748,1568,Irving,"{'lat': 38.67742399999999, 'lng': -90.284447}","{'lat': 38.67742399999999, 'lng': -90.284447}"
50750000600,1570 Irving Av,22,50,347,Vacant Lot,,,50.0,135.0,2524.9154835,1570,Irving,"{'lat': 38.677593, 'lng': -90.28461999999999}","{'lat': 38.677593, 'lng': -90.28461999999999}"
50750000700,1572 Irving Av,22,50,347,Vacant Lot,,,17.58,40.0,1158.292568,1572,Irving,"{'lat': 38.677692, 'lng': -90.284548}","{'lat': 38.677692, 'lng': -90.284548}"
50750000800,6110 Lotus Av,22,50,347,Vacant Lot,,,25.0,75.0,1654.705011,6110,Lotus,"{'lat': 38.6774119, 'lng': -90.28420100000001}","{'lat': 38.6774119, 'lng': -90.28420100000001}"
50750000900,1923-5 Hodiamont Av,22,50,347,Vacant Lot,,,45.08,96.42,5508.896004,1923,Hodiamont,"{'lat': 38.677355, 'lng': -90.283999}","{'lat': 38.677355, 'lng': -90.283999}"
50750001000,1919-21 Hodiamont Av,22,50,347,Vacant Lot,,,37.17,121.25,4165.6052395000015,1919,Hodiamont,"{'lat': 38.6772599, 'lng': -90.28408}","{'lat': 38.6772599, 'lng': -90.28408}"
50750001100,1915-7 Hodiamont Av,22,50,347,Vacant Lot,,,38.6,121.1,4625.552322,1915,Hodiamont,"{'lat': 38.677185, 'lng': -90.284171}","{'lat': 38.677185, 'lng': -90.284171}"
50750001200,1909-11 Hodiamont Av,22,50,347,Vacant Lot,,,60.0,121.17,5025.762503,1909,Hodiamont,"{'lat': 38.677091, 'lng': -90.284239}","{'lat': 38.677091, 'lng': -90.284239}"
50750001300,1907 Hodiamont Av,22,50,347,Vacant Lot,,,30.0,120.75,4213.72563,1907,Hodiamont,"{'lat': 38.677007, 'lng': -90.28429899999999}","{'lat': 38.677007, 'lng': -90.28429899999999}"
50760000100,6113 Lotus Av,22,50,347,Vacant Lot,,,30.89,131.25,12839.831215,6113,Lotus,"{'lat': 38.677871, 'lng': -90.284142}","{'lat': 38.677871, 'lng': -90.284142}"
50760000200,6110 Wabada Av,22,50,347,Vacant Lot,,,50.0,27.0,1350.0,6110,Wabada,"{'lat': 38.67808369999999, 'lng': -90.28395239999999}","{'lat': 38.67808369999999, 'lng': -90.28395239999999}"
50760000500,6101-11 Lotus Av,22,50,347,Vacant Lot,,,121.08,120.0,15269.903156,6101,Lotus,"{'lat': 38.677693, 'lng': -90.28380600000001}","{'lat': 38.677693, 'lng': -90.28380600000001}"
50780000500,2609 Hodiamont Av,22,50,347,Vacant Lot,,,39.0,123.5,5238.09,2609,Hodiamont,"{'lat': 38.679167, 'lng': -90.282748}","{'lat': 38.679167, 'lng': -90.282748}"
50780000600,2607 Hodiamont Av,22,50,347,Vacant Lot,,,38.5,123.375,5075.73,2607,Hodiamont,"{'lat': 38.679074, 'lng': -90.282814}","{'lat': 38.679074, 'lng': -90.282814}"
55510002300,5828 Highland Av,22,50,347,Vacant Lot,,,30.0,127.5,3694.3734395,5828,Highland,"{'lat': 38.6761849, 'lng': -90.27786599999999}","{'lat': 38.6761849, 'lng': -90.27786599999999}"
55510003600,5817 Wabada Av,22,50,347,Vacant Lot,,,30.0,127.06,3636.0,5817,Wabada,"{'lat': 38.67569, 'lng': -90.27773599999999}","{'lat': 38.67569, 'lng': -90.27773599999999}"
55510004100,5833 Wabada Av,22,50,347,Vacant Lot,,,30.0,127.5,3926.5669575,5833,Wabada,"{'lat': 38.675891, 'lng': -90.278195}","{'lat': 38.675891, 'lng': -90.278195}"
55510004200,5835 Wabada Av,22,50,347,Vacant Lot,,,30.0,127.5,3616.0,5835,Wabada,"{'lat': 38.675931, 'lng': -90.27828699999999}","{'lat': 38.675931, 'lng': -90.27828699999999}"
55520000600,5876 Kennerly Av,22,50,347,Vacant Lot,,,45.0,127.5,5923.833611,5876,Kennerly,"{'lat': 38.677631, 'lng': -90.278852}","{'lat': 38.677631, 'lng': -90.278852}"
