Parcel ID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street Name
44850000200,4860 Maffitt Av,4,55,308,Residential,2 Story Brick Residence,,1600.0,32.0,125.5,4016.0,4860,Maffitt
44850002100,2726 N Euclid Av,4,55,308,Residential,2.5 Story Brick Residence,,1600.0,33.0,133.0,4244.0,2726,Euclid
44870601100,4854 Hammett Pl,4,55,308,Residential,2 Story Brick Two Family Flat **,,,30.0,138.12,3602.0,4854,Hammett
44870602150,4843-7 Leduc St,4,55,308,Residential,1 Story Brick Residence,3000.0,,62.0,234.0,14722.0,4843,Leduc
50140000400,4822 St Louis Av,4,55,308,Residential,2 Story Brick Two Family Flat,,1824.0,30.0,150.0,4271.0,4822,St Louis
50140000600,4816 St Louis Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2610.0,30.0,150.0,4500.0,4816,St Louis
50140001600,4764 St Louis Av,4,55,308,Residential,2 Story Brick Two Family Flat **,,2254.0,30.0,150.0,4112.0,4764,St Louis
50140002900,4724 St Louis Av,4,55,308,Residential,2 Story Brick Two Family Flat,,2304.0,30.0,150.0,4500.0,4724,St Louis
50140004100,4723 Maffitt Av,4,55,308,Residential,2 Story Brick Residence,,1684.0,30.0,136.7,4102.0,4723,Maffitt
50140004500,4735 Maffitt Av,4,55,308,Residential,2 Story Brick Two Family Flat **,,2488.0,30.0,136.0,4364.0,4735,Maffitt
56380000200,1514 Dick Gregory Pl,4,56,308,Residential,2 Story Brick Residence,,,30.75,117.25,2916.0,1514,Dick Gregory
18690001100,3710 Cote Brilliante Av,4,59,309,Residential,2 Story Brick Residence,,,25.0,120.0,3234.0,3710,Cote Brilliante
18690002500,3733 Aldine Av,4,59,309,Residential,2 Story Brick Two Family Flat,,2332.0,25.0,120.0,2934.0,3733,Aldine
18700000400,3730 Garfield Av,4,59,309,Residential,1 Story Brick Residence,,1211.0,30.5,120.0,3660.0,3730,Garfield
18700002300,3737 Cote Brilliante Av,4,59,309,Residential,2 Story Brick Residence **,,1856.0,75.0,120.0,9000.0,3737,Cote Brilliante
18790000900,3630 Garfield Av,4,59,309,Residential,1 Story Brick Residence,,1100.0,25.0,120.0,3000.0,3630,Garfield
18800002800,3625 Aldine Av,4,59,309,Residential,1 Story Brick Residence,,1106.0,25.0,120.0,3147.0,3625,Aldine
36300000400,3858 Lincoln Av,4,59,309,Residential,1 Story Brick Residence,,758.0,50.0,120.0,5913.0,3858,Lincoln
36300002610,3821 Cottage Av,4,59,309,Residential,1 Story Brick Residence,,728.0,75.0,120.0,8781.0,3821,Cottage
36300003700,3855 Cottage Av,4,59,309,Residential,2 Story Brick Two Family Flat,,1748.0,25.0,120.0,3000.0,3855,Cottage
36300003900,3861-3 Cottage Av,4,59,309,Residential,2 Story Brick Four Family Flat,,4180.0,50.0,120.0,6079.0,3861,Cottage
36300004000,3867 Cottage Av,4,59,309,Residential,2 Story Brick Residence,,1948.0,50.0,120.0,5875.0,3867,Cottage
