ParcelID,Address,Ward,Neigh,AssN,Usage,Description,Value *,BldgSF,Front,Side1,LotSF,Add#,Street,laglng,latlng
24430001200,4330 19th St,3,66,313,Residential,1 Story Frame Residence,,985.0,25.0,130.0,3157.0,4330,19th,"{'lat': 38.6688277, 'lng': -90.20586639999999}","{'lat': 38.6688277, 'lng': -90.20586639999999}"
24430001400,4336 19th St,3,66,313,Residential,1 Story Frame Residence,,760.0,25.0,130.0,3338.620081,4336,19th,"{'lat': 38.6689505, 'lng': -90.20590299999999}","{'lat': 38.6689505, 'lng': -90.20590299999999}"
24430002700,4426 19th St,3,66,313,Residential,2 Story Brick Residence **,,1534.0,25.0,130.0,3311.0,4426,19th,"{'lat': 38.669804, 'lng': -90.20623499999999}","{'lat': 38.669804, 'lng': -90.20623499999999}"
24430002900,4430 19th St,3,66,313,Residential,2 Story Brick Residence,,3197.0,25.0,130.0,3250.0,4430,19th,"{'lat': 38.669929, 'lng': -90.206303}","{'lat': 38.669929, 'lng': -90.206303}"
24430004200,4413 Blair Av,3,66,313,Residential,2 Story Brick Residence,,1528.0,25.0,129.7,3111.0,4413,Blair,"{'lat': 38.669573, 'lng': -90.205541}","{'lat': 38.669573, 'lng': -90.205541}"
24430004900,4329 Blair Av,3,66,313,Residential,2 Story Brick Residence,,1376.0,25.0,131.5,6832.0,4329,Blair,"{'lat': 38.6689723, 'lng': -90.20517060000002}","{'lat': 38.6689723, 'lng': -90.20517060000002}"
24440000400,4316 N 20th St,3,66,313,Residential,2 Story Brick Residence,,2984.0,27.0,134.0,3278.0,4316,20th,"{'lat': 38.6681127, 'lng': -90.2067431}","{'lat': 38.6681127, 'lng': -90.2067431}"
24440000700,4322 N 20th St,3,66,313,Residential,3 Story Brick Residence,,2328.0,25.0,134.45,3360.0,4322,20th,"{'lat': 38.6682726, 'lng': -90.2069108}","{'lat': 38.6682726, 'lng': -90.2069108}"
24440000800,4326 N 20th St,3,66,313,Residential,2 Story Brick Residence,,1736.0,27.0,134.5,3148.0,4326,20th,"{'lat': 38.668355, 'lng': -90.20691020000001}","{'lat': 38.668355, 'lng': -90.20691020000001}"
24440002350,1908 Bissell St,3,66,313,Residential,2 Story Brick Residence,,1088.0,25.0,58.66,1377.0,1908,Bissell,"{'lat': 38.669801, 'lng': -90.2070631}","{'lat': 38.669801, 'lng': -90.2070631}"
24440003600,4409 19th St,3,66,313,Residential,2 Story Frame Residence w/Brick Addition,,1702.0,25.0,130.0,3493.0,4409,19th,"{'lat': 38.6691338, 'lng': -90.2065073}","{'lat': 38.6691338, 'lng': -90.2065073}"
24440003700,4407 19th St,3,66,313,Residential,2 Story Brick Residence,,1748.0,25.0,130.0,3250.0,4407,19th,"{'lat': 38.669042, 'lng': -90.2065499}","{'lat': 38.669042, 'lng': -90.2065499}"
24440004200,4329 19th St,3,66,313,Residential,2 Story Brick Two Family Flat,,2168.0,25.0,130.0,3363.0,4329,19th,"{'lat': 38.6686288, 'lng': -90.206245}","{'lat': 38.6686288, 'lng': -90.206245}"
24440004400,4325 19th St,3,66,313,Residential,2 Story Brick Residence,,1700.0,25.0,130.0,3250.0,4325,19th,"{'lat': 38.6684929, 'lng': -90.2061976}","{'lat': 38.6684929, 'lng': -90.2061976}"
24460000500,1417 Bissell St,3,66,313,Residential,1 Story Brick Residence,,900.0,29.5,100.0,2889.0,1417,Bissell,"{'lat': 38.6708793, 'lng': -90.20494889999999}","{'lat': 38.6708793, 'lng': -90.20494889999999}"
12480000700,2619 Natural Bridge Av,3,65,314,Residential,2 Story Brick Two Family Flat,,1560.0,25.0,127.33,3152.0,2619,Natural Bridge,"{'lat': 38.659219, 'lng': -90.211766}","{'lat': 38.659219, 'lng': -90.211766}"
